,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,IS_CRIME,IS_TRAFFIC
4652,2018530628,2018530628549900,5499,0,traf-other,all-other-crimes,8/5/2018 2:07:00 AM,,8/5/2018 3:55:00 AM,7TH ST / AURARIA PKWY,3137922.0,1696645.0,-105.0095242,39.7450729,1,123,auraria,1,0
4653,2018597534,2018597534531200,5312,0,disturbing-the-peace,public-disorder,9/1/2018 3:25:00 AM,,9/1/2018 3:58:00 AM,N SPEER BLVD / BLAKE ST,3139686.0,1697904.0,-105.0032268,39.7485028,1,123,auraria,1,0
4654,2017831918,2017831918544100,5441,0,traffic-accident,traffic-accident,12/13/2017 1:40:00 PM,,12/13/2017 2:03:00 PM,N SPEER BLVD / LAWRENCE ST,3140398.0,1696729.0,-105.0007177,39.7452665,1,123,auraria,0,1
4655,2017811033,2017811033544100,5441,0,traffic-accident,traffic-accident,12/4/2017 5:08:00 PM,,12/4/2017 5:08:00 PM,4TH ST / WALNUT ST,3137116.0,1695885.0,-105.012405,39.7429985,1,123,auraria,0,1
4656,20176011448,20176011448230800,2308,0,theft-from-bldg,larceny,12/1/2017 11:45:00 AM,12/2/2017 2:30:00 PM,12/5/2017 9:59:00 AM,1201 AURARIA PKWY,3139401.0,1697863.0,-105.0042411,39.7483945,1,123,auraria,1,0
4657,2018587316,2018587316131302,1313,2,assault-dv,other-crimes-against-persons,8/28/2018 7:45:00 AM,,8/28/2018 11:09:00 AM,900 AURARIA PKWY,3138868.0,1696647.0,-105.0061601,39.7450644,1,123,auraria,1,0
4658,2018536593,2018536593544100,5441,0,traffic-accident,traffic-accident,8/7/2018 3:03:00 PM,,8/7/2018 3:04:00 PM,,3140646.0,1695525.0,-104.9998593,39.7419576,1,123,auraria,0,1
4659,2018538080,2018538080570700,5707,0,criminal-trespassing,all-other-crimes,8/8/2018 7:15:00 AM,,8/8/2018 1:54:00 PM,N SPEER BLVD / LAWRENCE ST,3140398.0,1696729.0,-105.0007177,39.7452665,1,123,auraria,1,0
4660,2018545149,2018545149351200,3512,0,drug-heroin-possess,drug-alcohol,8/10/2018 9:41:00 PM,,8/11/2018 1:01:00 AM,950 WALNUT ST,3138702.0,1696979.0,-105.006744,39.7459782,1,123,auraria,1,0
4661,2018592196,2018592196549900,5499,0,traf-other,all-other-crimes,8/30/2018 2:21:00 AM,,8/30/2018 5:06:00 AM,AURARIA PKWY / I25 HWYNB,3136541.0,1695442.0,-105.0144581,39.7417909,1,123,auraria,1,0
4662,2018549210,2018549210410400,4104,0,liquor-possession,drug-alcohol,8/12/2018 6:29:00 PM,,8/12/2018 10:11:00 PM,N SPEER BLVD / LITTLE RAVEN ST,3138319.0,1699583.0,-105.0080559,39.7531324,1,123,auraria,1,0
4663,2018536631,2018536631570700,5707,0,criminal-trespassing,all-other-crimes,8/7/2018 2:42:00 PM,,8/7/2018 2:42:00 PM,1155 10TH ST,3139657.0,1696016.0,-105.0033666,39.7433204,1,123,auraria,1,0
4664,2018597304,2018597304544100,5441,0,traffic-accident,traffic-accident,9/1/2018 12:13:00 AM,,9/1/2018 12:13:00 AM,,3136541.0,1695442.0,-105.0144581,39.7417909,1,123,auraria,0,1
4665,2017818671,2017818671544100,5441,0,traffic-accident,traffic-accident,12/7/2017 9:44:00 PM,,12/7/2017 10:52:00 PM,LARIMER ST / N SPEER BLVD,3140197.0,1697145.0,-105.0014243,39.7464115,1,123,auraria,0,1
4666,2017861005,2017861005570700,5707,0,criminal-trespassing,all-other-crimes,12/27/2017 1:30:00 PM,,12/27/2017 1:30:00 PM,1101 W COLFAX AVE,3140104.0,1694909.0,-105.0017986,39.7402747,1,123,auraria,1,0
